label,t_s,volts,pct_mvc,active
without_support,0.00,0.1225,0.00,0
without_support,0.10,0.1216,0.00,0
without_support,0.20,0.1204,0.00,0
without_support,0.30,0.1195,0.00,0
without_support,0.40,0.1223,0.00,0
without_support,0.50,0.1240,0.00,0
without_support,0.60,0.1210,0.00,0
without_support,0.70,0.1207,0.00,0
without_support,0.80,0.1194,0.00,0
without_support,0.90,0.1195,0.00,0
without_support,1.00,0.1187,0.00,0
without_support,1.10,0.1205,0.00,0
without_support,1.20,0.1197,0.00,0
without_support,1.30,0.1204,0.00,0
without_support,1.40,0.1209,0.00,0
without_support,1.50,0.1262,0.00,0
without_support,1.60,0.1554,1.09,0
without_support,1.70,0.1460,0.67,0
without_support,1.80,0.1297,0.00,0
without_support,1.90,0.1223,0.00,0
without_support,2.00,0.1233,0.00,0
without_support,2.10,0.1586,1.24,0
without_support,2.20,0.2760,6.53,1
without_support,2.30,0.2480,5.27,1
without_support,2.40,0.2630,5.95,1
without_support,2.50,0.2916,7.24,1
without_support,2.60,0.2470,5.23,1
without_support,2.70,0.2141,3.74,1
without_support,2.80,0.2124,3.66,1
without_support,2.90,0.2565,5.66,1
without_support,3.00,0.2749,6.48,1
without_support,3.10,0.2641,6.00,1
without_support,3.20,0.2840,6.90,1
without_support,3.30,0.1810,2.25,0
without_support,3.40,0.1347,0.15,0
without_support,3.50,0.1248,0.00,0
without_support,3.60,0.1266,0.00,0
without_support,3.70,0.2293,4.43,1
without_support,3.80,0.3126,8.19,1
without_support,3.90,0.2643,6.01,1
without_support,4.00,0.2252,4.24,1
without_support,4.10,0.1482,0.77,0
without_support,4.20,0.1332,0.09,0
without_support,4.30,0.1403,0.41,0
without_support,4.40,0.1450,0.62,0
without_support,4.50,0.1296,0.00,0
without_support,4.60,0.1311,0.00,0
without_support,4.70,0.1259,0.00,0
without_support,4.80,0.1257,0.00,0
without_support,4.90,0.1290,0.00,0
without_support,5.00,0.1340,0.12,0
without_support,5.10,0.1294,0.00,0
without_support,5.20,0.1306,0.00,0
without_support,5.30,0.1419,0.48,0
without_support,5.40,0.1383,0.32,0
without_support,5.50,0.1294,0.00,0
without_support,5.60,0.1271,0.00,0
without_support,5.70,0.1246,0.00,0
without_support,5.80,0.1338,0.11,0
without_support,5.90,0.1413,0.45,0
without_support,6.00,0.1304,0.00,0
without_support,6.10,0.2933,7.32,1
without_support,6.20,0.3330,9.11,1
without_support,6.30,0.2021,3.20,1
without_support,6.40,0.1990,3.06,1
without_support,6.50,0.1936,2.82,0
without_support,6.60,0.2272,4.33,1
without_support,6.70,0.1964,2.94,1
without_support,6.80,0.1959,2.92,1
without_support,6.90,0.2379,4.81,1
without_support,7.00,0.2389,4.86,1
without_support,7.10,0.2542,5.55,1
without_support,7.20,0.1607,1.33,0
without_support,7.30,0.1489,0.80,0
without_support,7.40,0.1840,2.38,0
without_support,7.50,0.2006,3.13,1
without_support,7.60,0.1792,2.17,0
without_support,7.70,0.1782,2.12,0
without_support,7.80,0.1868,2.51,0
without_support,7.90,0.2082,3.47,1
without_support,8.00,0.2071,3.42,1
without_support,8.10,0.1951,2.88,1
without_support,8.20,0.1843,2.39,0
without_support,8.30,0.1578,1.20,0
without_support,8.40,0.1527,0.97,0
without_support,8.50,0.1757,2.01,0
without_support,8.60,0.1919,2.74,0
without_support,8.70,0.1562,1.13,0
without_support,8.80,0.1509,0.89,0
without_support,8.90,0.1932,2.80,0
without_support,9.00,0.1808,2.24,0
without_support,9.10,0.1689,1.70,0
